reference_catalogue,categorie,nom_descriptif,caracteristiques
BUR-001,Bureau,Bureau droit standard,"{""matiere"": ""bois"", ""couleur"": ""chene"", ""longueur_cm"": 120}"
BUR-002,Bureau,Bureau d'angle,"{""matiere"": ""bois/metal"", ""couleur"": ""blanc"", ""longueur_cm"": 160, ""retour"": ""droit""}"
BUR-003,Bureau,Bureau assis-debout électrique,"{""matiere"": ""melamine"", ""couleur"": ""gris"", ""longueur_cm"": 140, ""motorise"": true}"
BUR-004,Bureau,Table partagée (Bench) 4 places,"{""matiere"": ""bois"", ""couleur"": ""chene"", ""longueur_cm"": 280, ""passe_cable"": true}"
ASS-001,Assise,Fauteuil de direction,"{""matiere"": ""cuir"", ""couleur"": ""noir"", ""accoudoirs"": true, ""tetiere"": true}"
ASS-002,Assise,Chaise ergonomique,"{""couleur"": ""noir"", ""accoudoirs"": true, ""soutien_lombaire"": true}"
ASS-003,Assise,Chaise visiteur luge,"{""matiere"": ""tissu"", ""couleur"": ""bleu"", ""empilable"": false}"
ASS-004,Assise,Chaise de réunion empilable,"{""matiere"": ""polypropylene"", ""couleur"": ""noir"", ""empilable"": true}"
ASS-005,Assise,Tabouret haut,"{""matiere"": ""tissu"", ""couleur"": ""gris"", ""repose_pied"": true}"
RAN-001,Rangement,Armoire haute à rideaux,"{""matiere"": ""metal"", ""couleur"": ""gris"", ""hauteur_cm"": 198, ""largeur_cm"": 120, ""fermeture_cle"": true}"
RAN-002,Rangement,Armoire mi-haute à portes battantes,"{""matiere"": ""bois"", ""couleur"": ""chene"", ""hauteur_cm"": 135, ""largeur_cm"": 80}"
RAN-003,Rangement,Caisson mobile 3 tiroirs,"{""matiere"": ""metal"", ""couleur"": ""blanc"", ""roulettes"": true, ""fermeture_cle"": true}"
RAN-004,Rangement,Vestiaire métallique 1 case,"{""matiere"": ""metal"", ""couleur"": ""gris"", ""hauteur_cm"": 180, ""cadenassable"": true}"
AUT-001,Autre,Table de réunion ovale,"{""matiere"": ""bois"", ""couleur"": ""chene"", ""longueur_cm"": 240, ""places"": 8}"
AUT-002,Autre,Tableau blanc magnétique sur roulettes,"{""matiere"": ""email"", ""double_face"": true, ""hauteur_cm"": 180}"
AUT-003,Autre,Porte-manteau sur pied,"{""matiere"": ""metal"", ""couleur"": ""noir"", ""tetes"": 8, ""parapluie"": true}"
AUT-004,Autre,Écran de séparation acoustique,"{""matiere"": ""tissu"", ""couleur"": ""gris_chiné"", ""largeur_cm"": 120, ""fixation"": ""pince_bureau""}"
AUT-005,Autre,Corbeille à papier de tri sélectif,"{""matiere"": ""plastique"", ""bacs"": 3, ""volume_litres"": 45}"
AUT-006,Autre,Destructeur de documents,"{""niveau_securite"": ""P-4"", ""capacite_feuilles"": 15, ""corbeille_litres"": 30}"
